language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
Belarusian,103,101,1.941747572815534,2278,2007,11.89640035118525
Uyghur,303,284,6.270627062706271,2057,1816,11.71609139523578
Yoruba,356,353,0.8426966292134831,1840,1705,7.336956521739131
Cebuano,174,174,0.0,1924,1834,4.6777546777546775
Sinhala,286,165,42.30769230769231,1687,859,49.081209247184354
Igbo,70,67,4.285714285714286,1780,1541,13.426966292134832
Turkmen,72,79,-9.722222222222221,1622,1399,13.74845869297164
Swati,279,270,3.225806451612903,1262,1235,2.13946117274168
Hmong,137,123,10.218978102189782,1388,1242,10.518731988472622
Tigrinya,340,322,5.294117647058823,1146,1038,9.424083769633508
Marathi,1128,988,12.411347517730496,288,248,13.88888888888889
Mongolian,69,71,-2.898550724637681,1297,1280,1.3107170393215113
Amharic,314,131,58.28025477707006,937,519,44.61045891141942
Bashkir,30,32,-6.666666666666667,1216,1039,14.555921052631579
Sundanese,50,53,-6.0,1083,1040,3.9704524469067404
Rundi,46,49,-6.521739130434782,876,796,9.132420091324201
Pashto,117,78,33.333333333333336,603,411,31.8407960199005
Venda,44,49,-11.363636363636363,622,529,14.95176848874598
Urdu,151,123,18.543046357615893,449,383,14.699331848552339
Lao,40,14,65.0,522,225,56.89655172413793
Armenian,130,121,6.923076923076923,348,316,9.195402298850574
Zulu,33,33,0.0,333,351,-5.405405405405405
Tibetan,24,19,20.833333333333332,333,300,9.90990990990991
Sindhi,61,45,26.229508196721312,288,203,29.51388888888889
Cherokee,284,168,40.84507042253521,24,24,0.0
Zhuang,15,17,-13.333333333333334,190,173,8.947368421052632
xx,53,38,28.30188679245283,148,121,18.243243243243242
Abkhazian,8,11,-37.5,185,195,-5.405405405405405
