comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,20.00,25.00,20.00,24.00,23.50,28.40,27.80,28.90,29.08,29.29
original-output,20.00,25.00,18.00,23.00,24.50,27.40,25.90,26.65,27.74,28.09
original-conversation,20.00,25.00,18.00,24.00,23.00,27.80,26.90,27.35,28.56,28.25
