model,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output,gain_conversation
bigscience/bloom,23424128,20166740,13.91,73425368,63813070,13.09,13.29
mistralai/Mistral-7B-v0.1,27335702,25251725,7.62,84602302,77026601,8.95,8.63
google/gemma-2-9b,23606496,20831608,11.75,72839954,65733734,9.76,10.25
deepseek-ai/DeepSeek-R1,23329114,22267238,4.55,71993160,68476438,4.88,4.8
meta-llama/Llama-3.1-8B,23241558,22250032,4.27,72341051,68466276,5.36,5.09
microsoft/phi-4,23890932,22569884,5.53,74092542,69212149,6.59,6.33
