language,total,correct,accuracy
Arabic,100,96,96.00%
Chinese,100,99,99.00%
Danish,100,31,31.00%
Dutch,100,87,87.00%
English,100,97,97.00%
French,100,99,99.00%
German,100,97,97.00%
Indonesian,100,67,67.00%
Italian,100,100,100.00%
Japanese,100,91,91.00%
Korean,100,100,100.00%
Latin,100,3,3.00%
Polish,100,95,95.00%
Portuguese,100,99,99.00%
Russian,100,100,100.00%
Spanish,100,99,99.00%
Turkish,100,98,98.00%
Ukrainian,100,94,94.00%
Vietnamese,100,98,98.00%
