model,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output,gain_conversation
bigscience/bloom,23424128,19949375,14.83,73425368,65204877,11.2,12.08
google/gemma-2-9b,23606496,20673270,12.43,72839954,66691949,8.44,9.42
mistralai/Mistral-7B-v0.1,27335702,24639321,9.86,84602302,78169376,7.6,8.16
deepseek-ai/DeepSeek-R1,23329114,22097100,5.28,71993160,69550245,3.39,3.86
meta-llama/Llama-3.1-8B,23241558,22077372,5.01,72341051,69547947,3.86,4.14
microsoft/phi-4,23890932,22378138,6.33,74092542,70400950,4.98,5.31
