rank,conversational_word,conversational_freq_pct,web_word,web_freq_pct
1,used,0.2006,our,0.293
2,such,0.179,out,0.1874
3,answer,0.1733,get,0.1483
4,help,0.1697,just,0.1473
5,data,0.1631,were,0.1383
6,using,0.1491,had,0.1311
7,model,0.1424,most,0.1254
8,information,0.1381,than,0.124
9,provide,0.1348,people,0.1211
10,i'm,0.1334,first,0.1207
