model,total_words,total_tokens,fertility
gpt-4,134815852,167622071,1.24
gpt-4o,134815852,165364064,1.23
deepseek-ai/DeepSeek-R1,134815852,168747764,1.25
meta-llama/Llama-3.1-8B,134815852,167767888,1.24
google/gemma-2-9b,134815852,171581359,1.27
mistralai/Mistral-7B-v0.1,134815852,189988241,1.41
bigscience/bloom,134815852,169805285,1.26
microsoft/phi-4,134815852,167622071,1.24

