model,total_words_input,total_tokens_input,fertility_input,total_words_output,total_tokens_output,fertility_output
gpt-4,66469719,93409699,1.41,211407707,281718257,1.33
gpt-4o,66469719,92089204,1.39,211407707,277030476,1.31
deepseek-ai/DeepSeek-R1,66469719,95341478,1.43,211407707,282603270,1.34
meta-llama/Llama-3.1-8B,66469719,94650567,1.42,211407707,282413387,1.34
google/gemma-2-9b,66469719,98638851,1.48,211407707,292618686,1.38
mistralai/Mistral-7B-v0.1,66469719,109118097,1.64,211407707,323859115,1.53
bigscience/bloom,66469719,93323281,1.4,211407707,284465702,1.35
microsoft/phi-4,66469719,93407832,1.41,211407707,281718034,1.33

