model,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output,gain_conversation
deepseek-ai/DeepSeek-R1,23325593,22587068,3.17,68329634,65127698,4.69,4.3
meta-llama/Llama-3.1-8B,23241558,22578414,2.85,70694047,66905207,5.36,4.74
bigscience/bloom,23424128,20613921,12.0,73425368,63714494,13.23,12.93
microsoft/phi-4,23886899,22902061,4.12,70474042,65814160,6.61,5.98
google/gemma-2-9b,23606496,21191226,10.23,72839954,65667700,9.85,9.94
mistralai/Mistral-7B-v0.1,27335702,25416667,7.02,84602302,76231591,9.89,9.19
