language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
Kalaallisut,286,276,3.4965034965034967,3117,3020,3.1119666345845363
Māori,794,758,4.534005037783375,2533,2412,4.776944334780892
zzp,475,467,1.6842105263157894,2840,2800,1.408450704225352
Hausa,332,290,12.650602409638553,2968,2736,7.816711590296496
Tswana,236,235,0.423728813559322,2959,2942,0.5745184183845894
Shona,171,155,9.35672514619883,2946,2700,8.35030549898167
Icelandic,238,222,6.722689075630252,2601,2399,7.7662437524029215
Tajik,241,210,12.863070539419088,2512,2229,11.26592356687898
Albanian,297,290,2.356902356902357,2418,2414,0.1654259718775848
Khasi,253,251,0.7905138339920948,2349,2312,1.575138356747552
Kyrgyz,474,440,7.172995780590718,2123,1900,10.504003768252472
Lithuanian,134,120,10.447761194029852,2422,2269,6.317093311312965
Akan,234,232,0.8547008547008547,2225,2206,0.8539325842696629
Maltese,60,57,5.0,2282,2268,0.6134969325153374
Nauru,270,250,7.407407407407407,1936,1878,2.9958677685950414
Azerbaijani,99,93,6.0606060606060606,2014,2399,-19.116186693147963
Javanese,197,186,5.583756345177665,1896,1816,4.219409282700422
Yoruba,327,289,11.62079510703364,1682,1469,12.663495838287753
Uyghur,257,248,3.501945525291829,1699,1552,8.652148322542672
Cebuano,161,159,1.2422360248447204,1780,1694,4.831460674157303
Belarusian,85,79,7.0588235294117645,1821,1635,10.214168039538714
Sinhala,291,258,11.34020618556701,1473,1330,9.708078750848609
Igbo,59,48,18.64406779661017,1481,1246,15.867656988521269
Swati,237,229,3.3755274261603376,1134,1140,-0.5291005291005291
Turkmen,62,65,-4.838709677419355,1305,1195,8.42911877394636
Hmong,118,99,16.10169491525424,1239,1063,14.205004035512511
Tigrinya,316,296,6.329113924050633,1039,1017,2.1174205967276225
Amharic,330,195,40.90909090909091,921,639,30.618892508143322
Mongolian,65,60,7.6923076923076925,1009,883,12.487611496531219
Marathi,720,793,-10.13888888888889,216,221,-2.314814814814815
Sundanese,45,43,4.444444444444445,871,832,4.477611940298507
Bashkir,25,21,16.0,851,739,13.160987074030553
Rundi,42,41,2.380952380952381,735,670,8.843537414965986
Venda,41,38,7.317073170731708,565,458,18.938053097345133
Armenian,195,166,14.871794871794872,346,329,4.913294797687861
Urdu,113,121,-7.079646017699115,341,371,-8.79765395894428
Lao,28,28,0.0,392,428,-9.183673469387756
Tibetan,29,29,0.0,295,291,1.3559322033898304
Zulu,30,28,6.666666666666667,274,273,0.36496350364963503
Cherokee,258,192,25.58139534883721,19,19,0.0
Pashto,45,56,-24.444444444444443,216,264,-22.22222222222222
Zhuang,16,15,6.25,169,142,15.976331360946746
Abkhazian,7,6,14.285714285714286,177,179,-1.1299435028248588
xx,47,38,19.148936170212767,123,116,5.691056910569106
Sindhi,24,25,-4.166666666666667,136,149,-9.558823529411764
