comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,100.00,100.00,100.00,97.00,94.00,87.20,86.50,83.95,84.58,85.70
original-output,100.00,100.00,98.00,97.00,92.50,85.60,84.20,81.25,81.42,82.66
original-conversation,100.00,100.00,98.00,97.00,92.00,86.00,84.40,81.65,81.90,82.84
