comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,100.00,100.00,98.00,97.00,94.50,92.80,91.50,89.30,86.96,86.24
original-output,100.00,100.00,98.00,97.00,94.00,91.20,89.00,87.05,84.08,82.80
original-conversation,100.00,100.00,98.00,97.00,94.00,90.80,89.00,87.00,84.36,83.10
