comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,100.00,100.00,100.00,99.00,95.50,91.80,92.20,89.35,86.98,86.32
original-output,100.00,100.00,98.00,99.00,94.50,91.20,91.30,87.95,85.68,83.36
original-conversation,100.00,100.00,98.00,99.00,94.00,90.40,90.60,87.65,85.18,83.51
