comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,90.00,100.00,98.00,97.00,95.00,92.00,91.00,88.35,86.72,86.07
original-output,90.00,100.00,98.00,98.00,97.00,94.40,92.80,90.50,89.44,88.02
original-conversation,90.00,100.00,98.00,98.00,95.00,93.00,91.80,88.65,87.84,86.88
