language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
Rundi,41,41,0.0,709,638,10.01410437235543
Marathi,453,691,-52.53863134657836,200,187,6.5
Venda,37,38,-2.7027027027027026,551,425,22.867513611615244
Lao,28,24,14.285714285714286,387,357,7.751937984496124
Armenian,101,145,-43.56435643564357,297,206,30.63973063973064
Zulu,31,28,9.67741935483871,288,236,18.055555555555557
Tibetan,19,33,-73.6842105263158,284,315,-10.915492957746478
Urdu,57,113,-98.24561403508773,232,355,-53.01724137931034
Pashto,45,51,-13.333333333333334,197,221,-12.182741116751268
Cherokee,212,212,0.0,22,19,13.636363636363637
Abkhazian,8,6,25.0,178,169,5.056179775280899
xx,45,37,17.77777777777778,132,103,21.96969696969697
Zhuang,15,15,0.0,136,137,-0.7352941176470589
Sindhi,16,21,-31.25,106,115,-8.49056603773585
