comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,100.00,75.00,88.00,86.00,90.50,78.00,76.40,75.90,76.08,76.94
original-output,100.00,75.00,86.00,84.00,90.00,78.00,76.50,75.00,74.68,73.75
original-conversation,100.00,75.00,86.00,84.00,89.50,77.60,75.00,74.55,73.74,73.73
