comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,90.00,75.00,88.00,84.00,86.50,76.60,75.80,73.10,73.54,75.81
original-output,90.00,75.00,90.00,85.00,90.00,79.80,78.50,76.05,77.54,79.29
original-conversation,90.00,75.00,88.00,84.00,87.50,77.80,77.10,73.70,74.66,77.03
