language,tokens_old_input,tokens_new_input,gain_input,tokens_old_output,tokens_new_output,gain_output
Amharic,129,127,1.550387596899225,531,476,10.357815442561206
Venda,35,35,0.0,488,424,13.114754098360656
Urdu,73,99,-35.61643835616438,274,327,-19.343065693430656
Tibetan,13,18,-38.46153846153846,264,257,2.6515151515151514
Armenian,72,120,-66.66666666666667,197,290,-47.20812182741117
Zulu,25,26,-4.0,235,259,-10.212765957446809
Pashto,44,48,-9.090909090909092,203,229,-12.807881773399014
Lao,14,16,-14.285714285714286,226,226,0.0
Cherokee,166,137,17.46987951807229,19,19,0.0
Abkhazian,5,5,0.0,173,171,1.1560693641618498
Zhuang,14,12,14.285714285714286,142,141,0.704225352112676
xx,32,33,-3.125,119,113,5.042016806722689
Sindhi,22,20,9.090909090909092,124,126,-1.6129032258064515
