comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,100.00,100.00,96.00,97.00,95.50,91.60,91.20,88.00,85.92,84.86
original-output,100.00,100.00,98.00,98.00,98.00,95.00,92.80,91.15,88.76,87.18
original-conversation,100.00,100.00,96.00,98.00,95.50,92.80,91.70,88.80,87.08,85.69
