comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,100.00,100.00,100.00,98.00,97.50,94.80,93.90,91.30,88.24,86.86
original-output,100.00,100.00,98.00,98.00,96.50,93.00,91.50,89.30,85.50,83.84
original-conversation,100.00,100.00,98.00,98.00,96.50,93.00,91.30,89.25,85.64,84.08
