comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,20.00,25.00,18.00,17.00,19.00,17.80,16.30,14.35,16.54,19.49
original-output,20.00,25.00,18.00,20.00,20.00,19.00,17.70,15.70,18.68,21.86
original-conversation,20.00,25.00,18.00,18.00,19.00,18.40,17.20,14.60,17.22,20.21
