comparison,top 10,top 20,top 50,top 100,top 200,top 500,top 1000,top 2000,top 5000,top 10000
original-input,20.00,25.00,18.00,16.00,14.50,13.00,12.50,12.40,14.42,16.79
original-output,20.00,25.00,18.00,15.00,15.00,12.80,11.80,11.25,12.80,15.01
original-conversation,20.00,25.00,18.00,15.00,15.00,12.60,11.80,11.30,12.84,15.21
